Date,Open,High,Low,Close,Volume
1992-10-06,3.5838,3.5838,3.5838,3.5838,178121
1992-10-08,3.4602,3.4602,3.4602,3.4602,133143
1992-10-13,3.1248,3.1248,3.1248,3.1248,141913
1992-10-15,3.1777,3.1777,3.1777,3.1777,87515
1992-10-20,3.4955,3.4955,3.4955,3.4955,135888
1992-10-22,3.8309,3.8309,3.8309,3.8309,108015
1992-10-27,3.8839,3.8839,3.8839,3.8839,119236
1992-10-29,3.725,3.725,3.725,3.725,87839
1992-11-03,3.725,3.725,3.725,3.725,53316
1992-11-05,3.7074,3.7074,3.7074,3.7074,46165
1992-11-10,3.7427,3.7427,3.7427,3.7427,85941
1992-11-12,3.7427,3.7427,3.7427,3.7427,11555
1992-11-17,3.4602,3.4602,3.4602,3.4602,34651
1992-11-19,3.5661,3.5661,3.5661,3.5661,23990
1992-11-24,3.5132,3.5132,3.5132,3.5132,43266
1992-11-26,3.319,3.319,3.319,3.319,30145
1992-12-01,3.5308,3.5308,3.5308,3.5308,37243
1992-12-03,3.5661,3.5661,3.5661,3.5661,29527
1992-12-08,3.6014,3.6014,3.6014,3.6014,54839
1992-12-10,3.5485,3.5485,3.5485,3.5485,41877
1992-12-15,3.5132,3.5132,3.5132,3.5132,23241
1992-12-17,3.4779,3.4779,3.4779,3.4779,16461
1992-12-22,3.4249,3.4249,3.4249,3.4249,30439
1992-12-29,3.3543,3.3543,3.3543,3.3543,35015
1993-01-04,3.3719,3.3719,3.3719,3.3719,10632
1993-01-05,3.4602,3.4602,3.4602,3.4602,20375
1993-01-07,3.5485,3.5485,3.5485,3.5485,36381
1993-01-11,3.6191,3.6191,3.6191,3.6191,33364
1993-01-12,3.6544,3.6544,3.6544,3.6544,30922
1993-01-14,3.6544,3.6544,3.6544,3.6544,31209
1993-01-18,3.6191,3.6191,3.6191,3.6191,24426
1993-01-19,3.5838,3.5838,3.5838,3.5838,17022
1993-01-21,3.5661,3.5661,3.5661,3.5661,19419
1993-01-25,3.5661,3.5661,3.5661,3.5661,24494
1993-01-26,3.5308,3.5308,3.5308,3.5308,23167
1993-01-28,3.4602,3.4602,3.4602,3.4602,19941
1993-02-01,3.4426,3.4426,3.4426,3.4426,24909
1993-02-02,3.4779,3.4779,3.4779,3.4779,18201
1993-02-04,3.4779,3.4779,3.4779,3.4779,29630
