Date,Open,High,Low,Close,Volume
2004-12-07,6.2854,6.4124,6.1494,6.3398,29087247
2004-12-08,6.3398,6.358,6.3036,6.3398,6859759
2004-12-09,6.3217,6.358,6.3036,6.3398,4643041
2004-12-10,6.358,6.358,6.3398,6.358,1944536
2004-12-13,6.3761,6.5575,6.358,6.485,1994276
2004-12-14,6.4668,6.5394,6.4668,6.5212,1118927
2004-12-15,6.5212,6.8024,6.5212,6.8024,2053713
2004-12-16,6.8205,7.3284,6.8205,7.3103,4598427
2004-12-17,7.3103,7.3284,6.9112,7.1288,1364358
2004-12-20,7.1108,7.1834,6.9656,7.1108,902274
2004-12-21,7.1108,7.1288,6.9475,6.9838,816771
2004-12-22,6.9838,6.9838,6.7208,6.8749,634559
2004-12-23,6.8749,6.8749,6.757,6.7661,468044
2004-12-24,6.757,6.757,6.6482,6.7026,58827
2004-12-27,6.7208,6.9838,6.7026,6.893,285895
2004-12-28,6.893,7.0019,6.893,6.9656,340227
2004-12-29,6.9656,7.0926,6.9294,7.0201,846135
2004-12-30,7.0201,7.0926,6.893,6.9838,275444
2004-12-31,7.0564,7.0564,6.9475,7.0019,53357
2005-01-03,7.0383,7.0744,6.9656,6.9656,472143
2005-01-04,6.9656,6.9656,6.8387,6.893,241663
2005-01-05,6.7843,6.8387,6.7026,6.7661,388736
2005-01-06,6.7026,6.8205,6.6119,6.7026,951914
2005-01-07,6.6844,6.8205,6.6844,6.757,178336
2005-01-10,6.7661,6.7843,6.6119,6.7661,230518
2005-01-11,6.7661,6.7661,6.6844,6.7208,305174
2005-01-12,6.7026,6.8024,6.7026,6.757,208933
2005-01-13,6.7661,6.8024,6.7661,6.7843,368350
2005-01-14,6.7208,6.7843,6.7026,6.757,223324
2005-01-17,6.7208,6.739,6.6663,6.7026,255002
2005-01-18,6.6844,6.6844,6.6119,6.6482,459602
2005-01-19,6.6119,6.7661,6.6119,6.739,457454
2005-01-20,6.6844,6.7208,6.6119,6.7026,73789
2005-01-21,6.7208,6.757,6.6119,6.739,553073
2005-01-24,6.6663,6.7026,6.6119,6.6119,428157
2005-01-25,6.63,6.6663,6.63,6.6482,361459
2005-01-26,6.6119,6.7843,6.6119,6.757,937472
2005-01-27,6.7208,6.9656,6.7208,6.9656,1512243
