Date,Open,High,Low,Close,Volume,OpenInt
2009-12-21,2372,2400,2360,2400,108,38
2009-12-22,2400,2420,2400,2420,64,68
2009-12-23,2416,2423,2400,2411,26,68
2009-12-28,2425,2459,2425,2450,95,106
2009-12-29,2450,2462,2442,2462,90,87
2009-12-30,2452,2452,2439,2439,179,191
2009-12-31,2444,2444,2435,2435,20,191
2010-01-04,2441,2493,2440,2493,120,183
2010-01-05,2488,2513,2488,2496,301,256
2010-01-06,2501,2505,2483,2499,57,280
2010-01-07,2488,2488,2461,2467,155,294
2010-01-08,2497,2514,2469,2473,276,377
2010-01-11,2504,2514,2499,2502,34,389
2010-01-12,2494,2496,2470,2479,42,406
2010-01-13,2464,2499,2460,2485,40,398
2010-01-14,2508,2511,2475,2481,64,426
2010-01-15,2485,2501,2470,2473,74,445
2010-01-18,2485,2487,2470,2479,38,454
2010-01-19,2501,2518,2482,2517,67,457
2010-01-20,2511,2525,2509,2509,60,458
2010-01-21,2517,2517,2484,2494,36,466
2010-01-22,2464,2470,2429,2436,55,466
2010-01-25,2427,2450,2427,2437,59,454
2010-01-26,2415,2421,2396,2421,108,469
2010-01-27,2406,2433,2403,2403,51,460
2010-01-28,2429,2431,2388,2388,66,466
2010-01-29,2380,2409,2380,2409,34,473
2010-02-01,2400,2408,2393,2394,20,481
2010-02-02,2404,2404,2395,2402,28,495
2010-02-03,2415,2420,2402,2402,71,487
2010-02-04,2398,2400,2309,2309,71,510
2010-02-05,2298,2310,2233,2233,141,533
2010-02-08,2235,2257,2190,2226,126,533
2010-02-09,2240,2246,2233,2239,72,547
2010-02-10,2258,2259,2220,2220,72,534
2010-02-11,2249,2255,2191,2191,108,531
2010-02-12,2226,2239,2209,2221,82,539
2010-02-15,2233,2256,2225,2256,37,531
2010-02-16,2276,2283,2238,2245,50,532
2010-02-17,2285,2296,2274,2282,101,529
2010-02-18,2277,2283,2255,2267,100,564
2010-02-19,2245,2279,2235,2273,75,569
2010-02-22,2287,2295,2268,2269,61,578
2010-02-23,2277,2278,2241,2241,41,581
2010-02-24,2234,2242,2223,2242,36,566
2010-02-25,2229,2252,2186,2194,104,569
2010-02-26,2217,2245,2212,2245,104,564
2010-03-01,2273,2286,2273,2284,22,568
2010-03-02,2285,2360,2275,2349,159,546
2010-03-03,2346,2386,2340,2375,61,560
2010-03-04,2362,2386,2348,2363,199,475
2010-03-05,2383,2403,2370,2403,62,467
2010-03-08,2419,2419,2393,2400,61,459
2010-03-09,2395,2406,2377,2395,62,458
2010-03-10,2400,2433,2394,2426,74,472
2010-03-11,2415,2417,2400,2404,64,464
2010-03-12,2424,2446,2417,2420,247,430
2010-03-15,2419,2419,2385,2387,163,442
2010-03-16,2400,2447,2394,2447,174,436
2010-03-17,2461,2500,2460,2480,191,464
2010-03-18,2472,2476,2450,2459,94,430
2010-03-19,2466,2472,2418,2458,189,492
2010-03-22,2434,2450,2413,2444,282,541
2010-03-23,2447,2468,2447,2453,115,559
2010-03-24,2468,2484,2433,2442,139,561
2010-03-25,2455,2524,2455,2524,240,547
2010-03-26,2515,2520,2495,2501,144,592
2010-03-29,2513,2530,2494,2495,79,600
2010-03-30,2519,2525,2500,2511,67,612
2010-03-31,2499,2523,2498,2510,111,624
2010-04-01,2515,2560,2515,2559,134,660
2010-04-06,2560,2585,2552,2574,91,670
2010-04-07,2568,2573,2545,2562,170,681
2010-04-08,2552,2552,2525,2537,88,676
2010-04-09,2552,2560,2544,2558,44,670
2010-04-12,2562,2582,2562,2582,97,689
2010-04-13,2568,2587,2564,2581,40,695
2010-04-14,2594,2601,2577,2595,67,711
2010-04-15,2607,2607,2580,2593,50,718
2010-04-16,2576,2604,2573,2578,85,732
2010-04-19,2551,2551,2510,2528,85,730
2010-04-20,2537,2558,2526,2554,35,725
2010-04-21,2572,2575,2534,2534,70,738
2010-04-22,2529,2538,2470,2470,117,758
2010-04-23,2488,2496,2480,2495,33,753
2010-04-26,2525,2568,2525,2566,66,771
2010-04-27,2562,2566,2531,2532,103,761
2010-04-28,2480,2497,2460,2481,113,753
2010-04-29,2486,2530,2473,2522,53,770
2010-04-30,2539,2565,2533,2546,58,779
2010-05-04,2554,2557,2436,2437,235,729
2010-05-05,2431,2438,2381,2411,250,702
2010-05-06,2401,2422,2383,2396,158,705
2010-05-07,2322,2367,2308,2332,309,714
2010-05-10,2394,2433,2386,2428,87,706
2010-05-11,2400,2428,2400,2428,180,701
2010-05-12,2422,2474,2422,2453,208,688
2010-05-13,2471,2481,2426,2440,211,674
2010-05-14,2427,2437,2396,2401,185,705
2010-05-17,2365,2399,2350,2398,195,691
2010-05-18,2414,2434,2410,2425,113,706
2010-05-19,2394,2394,2326,2338,289,686
2010-05-20,2325,2352,2278,2278,278,687
2010-05-21,2295,2305,2243,2304,251,685
2010-05-24,2312,2316,2284,2308,83,690
2010-05-25,2245,2265,2242,2262,143,668
2010-05-26,2299,2355,2288,2355,220,712
2010-05-27,2360,2384,2341,2384,146,750
2010-05-28,2382,2401,2370,2401,90,762
2010-05-31,2392,2411,2392,2411,64,775
2010-06-01,2390,2390,2364,2380,126,754
2010-06-02,2356,2390,2356,2390,105,798
2010-06-04,2410,2413,2316,2333,108,795
2010-06-07,2297,2327,2294,2321,132,792
2010-06-08,2321,2336,2296,2324,179,819
2010-06-09,2335,2349,2309,2327,69,834
2010-06-10,2334,2370,2312,2370,184,943
2010-06-11,2379,2381,2338,2358,107,947
2010-06-14,2381,2406,2368,2392,96,971
2010-06-15,2376,2407,2376,2400,153,1008
2010-06-16,2427,2427,2390,2396,264,1156
2010-06-17,2395,2404,2372,2372,191,1215
2010-06-18,2378,2387,2361,2373,200,1258
2010-06-21,2414,2420,2406,2411,141,1253
2010-06-22,2392,2425,2390,2392,331,1255
2010-06-23,2384,2384,2343,2346,377,1314
2010-06-24,2355,2357,2325,2348,436,1362
2010-06-25,2340,2368,2336,2367,323,1364
2010-06-28,2366,2372,2348,2352,162,1362
2010-06-29,2335,2337,2288,2289,631,1451
2010-06-30,2290,2307,2282,2292,471,1563
2010-07-01,2268,2317,2257,2291,584,1602
2010-07-02,2302,2319,2288,2314,310,1670
2010-07-05,2318,2322,2298,2307,137,1660
2010-07-06,2312,2353,2311,2353,273,1670
2010-07-07,2340,2351,2310,2351,448,1712
2010-07-08,2366,2372,2342,2345,260,1746
2010-07-09,2357,2357,2331,2345,287,1734
2010-07-12,2345,2395,2337,2389,389,1793
2010-07-13,2381,2415,2381,2407,274,1839
2010-07-14,2417,2426,2400,2410,199,1879
2010-07-15,2408,2425,2401,2406,192,1836
2010-07-16,2401,2434,2391,2397,417,1893
2010-07-19,2391,2398,2379,2396,261,1926
2010-07-20,2405,2407,2367,2381,435,1964
2010-07-21,2399,2427,2398,2427,446,1961
2010-07-22,2420,2474,2414,2473,364,2084
2010-07-23,2471,2489,2465,2485,268,2108
2010-07-26,2493,2513,2478,2509,533,2176
2010-07-27,2509,2520,2500,2500,603,2239
2010-07-28,2515,2520,2487,2496,428,2233
2010-07-29,2505,2518,2495,2502,354,2226
2010-07-30,2495,2502,2473,2490,532,2296
2010-08-02,2514,2563,2507,2563,571,2414
2010-08-03,2560,2574,2547,2558,360,2361
2010-08-04,2552,2573,2549,2571,303,2440
2010-08-05,2569,2574,2551,2565,393,2441
2010-08-06,2568,2581,2540,2557,489,2498
2010-08-09,2564,2577,2550,2553,404,2591
2010-08-10,2554,2554,2505,2513,557,2510
2010-08-11,2501,2501,2474,2479,572,2539
2010-08-12,2479,2489,2460,2484,645,2585
2010-08-13,2499,2507,2472,2480,752,2453
2010-08-16,2477,2493,2460,2493,342,2506
2010-08-17,2490,2502,2487,2499,353,2679
2010-08-18,2505,2506,2481,2488,384,2704
2010-08-19,2502,2510,2441,2455,795,2725
2010-08-20,2455,2463,2437,2453,627,2768
2010-08-23,2456,2489,2455,2486,582,2934
2010-08-24,2474,2474,2416,2422,1197,7221
2010-08-25,2418,2434,2400,2422,1193,7527
2010-08-26,2429,2435,2409,2421,1248,8043
2010-08-27,2413,2437,2412,2435,764,11252
2010-08-30,2451,2455,2422,2424,996,11743
2010-08-31,2400,2437,2383,2437,2191,12349
2010-09-01,2439,2470,2426,2470,1776,12973
2010-09-02,2471,2481,2457,2467,2100,13584
2010-09-03,2470,2492,2465,2483,1382,13731
2010-09-06,2494,2499,2478,2497,1270,14265
2010-09-07,2491,2499,2483,2490,2306,15203
2010-09-08,2486,2544,2485,2543,5223,17303
2010-09-09,2540,2556,2538,2543,3711,18453
2010-09-10,2548,2552,2530,2538,3968,19921
2010-09-13,2560,2580,2559,2568,8553,28640
2010-09-14,2562,2573,2552,2568,22524,50574
2010-09-15,2572,2573,2556,2568,18906,67308
2010-09-16,2566,2569,2555,2556,22728,79379
2010-09-17,2568,2581,2543,2548,45974,94886
2010-09-20,2551,2567,2542,2567,26805,97818
2010-09-21,2575,2606,2560,2593,46603,104645
2010-09-22,2596,2602,2582,2595,31612,103287
2010-09-23,2595,2604,2555,2582,52084,102411
2010-09-24,2575,2616,2566,2610,45067,102866
2010-09-27,2616,2625,2603,2607,28763,102476
2010-09-28,2604,2605,2575,2582,51078,102264
2010-09-29,2594,2609,2580,2593,43122,99945
2010-09-30,2580,2623,2576,2617,49932,103352
2010-10-01,2610,2624,2601,2618,42025,103422
2010-10-04,2615,2636,2591,2636,41292,102477
2010-10-05,2629,2683,2623,2675,53997,106690
2010-10-06,2686,2688,2666,2666,39339,103578
2010-10-07,2665,2678,2634,2640,56023,104526
2010-10-08,2642,2646,2617,2625,55023,104400
2010-10-11,2633,2643,2623,2633,26070,104669
2010-10-12,2614,2649,2606,2640,55160,107382
2010-10-13,2645,2708,2645,2700,61902,108089
