Date,Open,High,Low,Close,Volume
1997-07-10,13.0301,13.0301,13.0301,13.0301,4440699
1997-07-11,13.3076,13.3076,13.3076,13.3076,2808839
1997-07-14,11.9806,11.9806,11.9806,11.9806,718210
1997-07-15,10.8185,10.8185,10.8185,10.8185,1500916
1997-07-16,11.868,11.868,11.868,11.868,1029122
1997-07-17,12.093,12.1979,12.093,12.1979,1387130
1997-07-18,11.9206,11.9206,11.5382,11.5906,482290
1997-07-21,11.9206,11.9206,11.8156,11.9206,659933
1997-07-22,11.9206,12.093,11.9206,11.9806,427888
1997-07-23,12.033,12.033,11.7032,11.8156,366915
1997-07-24,11.9206,11.9206,11.8156,11.8156,447184
1997-07-25,11.868,11.868,11.7556,11.7556,356913
1997-07-28,11.6507,11.6507,11.4782,11.4782,372046
1997-07-29,11.3733,11.6507,11.3733,11.5382,212936
1997-07-30,11.5382,11.9206,11.5382,11.8156,237345
1997-07-31,11.7556,11.7556,11.4782,11.5382,236003
1997-08-01,11.5382,11.7556,11.5382,11.5382,176134
1997-08-04,11.6507,11.7556,11.6507,11.7032,249807
1997-08-05,11.7556,11.9206,11.7556,11.9206,369376
1997-08-06,11.9206,11.9206,11.7556,11.8156,270017
1997-08-07,11.868,12.6477,11.868,12.5878,337848
1997-08-08,12.4229,13.3076,12.4229,12.9777,668718
1997-08-11,12.7528,12.7528,12.3704,12.4229,480684
1997-08-12,12.3704,12.7528,12.3704,12.5878,397447
1997-08-13,12.7528,12.7528,12.7528,12.7528,532722
1997-08-14,12.3104,12.4753,12.258,12.3104,230977
1997-08-18,12.1455,12.1455,11.8156,11.9206,222075
1997-08-19,12.3104,12.7528,12.3104,12.5353,415445
1997-08-20,12.6477,12.6477,12.4229,12.4753,407265
1997-08-21,12.1979,12.1979,12.093,12.093,141129
1997-08-22,12.033,12.3104,12.033,12.258,135247
1997-08-25,12.093,12.258,11.9206,11.9206,126671
1997-08-26,11.9206,12.1455,11.9206,12.033,147757
1997-08-27,12.033,12.1455,12.033,12.093,138877
1997-08-28,12.3704,12.6477,12.3704,12.5878,552907
1997-08-29,12.4753,12.4753,12.3704,12.4229,591658
1997-09-01,12.258,12.3704,12.258,12.258,157315
1997-09-02,12.4753,12.5878,12.4753,12.5353,365871
1997-09-03,12.6477,12.9252,12.6477,12.8653,699543
1997-09-04,12.6477,12.6477,12.4753,12.5353,364499
1997-09-05,12.4753,12.7003,12.4753,12.5878,313818
1997-09-08,12.5353,12.5353,12.4229,12.5353,124372
1997-09-09,12.3704,12.4753,12.3704,12.4229,239012
1997-09-10,12.3704,12.5353,12.3704,12.4229,232930
1997-09-11,12.258,12.4229,12.258,12.3704,235144
1997-09-12,12.3704,12.4753,12.3704,12.4229,212416
1997-09-15,12.3104,12.4753,12.3104,12.4229,189735
1997-09-16,12.3104,12.3704,12.1979,12.1979,210778
1997-09-17,12.1455,12.1455,12.033,12.093,227931
1997-09-18,11.9806,12.1979,11.9206,12.1979,331514
1997-09-19,12.4753,12.7003,12.4753,12.7003,844058
1997-09-22,12.7528,12.7528,12.5353,12.5878,530880
1997-09-23,12.5878,12.5878,12.4229,12.4753,361477
1997-09-24,12.258,12.4229,12.258,12.3704,257135
1997-09-25,12.1455,12.1455,11.9806,12.033,379101
1997-09-26,11.9806,12.033,11.9206,11.9206,333672
1997-09-29,12.033,12.1455,12.033,12.033,267826
1997-09-30,12.258,12.258,12.033,12.093,240867
