Date,Open,High,Low,Close,Volume
1991-04-16,100,100,100,100,325
1991-04-23,95.7,95.7,95.7,95.7,5905
1991-04-30,93.5,93.5,93.5,93.5,7162
1991-05-14,92.9,92.9,92.9,92.9,18300
1991-05-21,95.5,95.5,95.5,95.5,14750
1991-05-28,94.6,94.6,94.6,94.6,31440
1991-06-04,95.8,95.8,95.8,95.8,12396
1991-06-11,95,95,95,95,26247
1991-06-18,85.7,85.7,85.7,85.7,33496
1991-06-25,84.1,84.1,84.1,84.1,25264
1991-07-02,88.1,88.1,88.1,88.1,31913
1991-07-09,85.7,85.7,85.7,85.7,36743
1991-07-16,82.5,82.5,82.5,82.5,42664
1991-07-23,84.4,84.4,84.4,84.4,48483
1991-07-30,81.6,81.6,81.6,81.6,33559
1991-08-06,78.5,78.5,78.5,78.5,46771
1991-08-13,76.3,76.3,76.3,76.3,26415
1991-08-20,74.8,74.8,74.8,74.8,30497
1991-08-27,73.1,73.1,73.1,73.1,37740
1991-09-03,71.8,71.8,71.8,71.8,36796
1991-09-10,70.7,70.7,70.7,70.7,50869
1991-09-17,68.5,68.5,68.5,68.5,52892
1991-09-24,67.2,67.2,67.2,67.2,92084
1991-10-01,67.1,67.1,67.1,67.1,256
1991-10-08,70,70,70,70,91260
1991-10-15,76.3,76.3,76.3,76.3,121743
1991-10-22,83.5,83.5,83.5,83.5,52543
1991-10-29,91.3,91.3,91.3,91.3,145326
1991-11-05,97.9,97.9,97.9,97.9,147129
1991-11-12,98.4,98.4,98.4,98.4,85897
1991-11-19,88.9,88.9,88.9,88.9,82486
1991-11-26,84.7,84.7,84.7,84.7,84286
1991-12-03,90.7,90.7,90.7,90.7,76462
1991-12-10,99.1,99.1,99.1,99.1,189231
1991-12-17,91.7,91.7,91.7,91.7,85
1991-12-31,90.9,90.9,90.9,90.9,108716
1992-01-07,96.4,96.4,96.4,96.4,70805
1992-01-09,95.3,95.3,95.3,95.3,39804
1992-01-14,92,92,92,92,51353
1992-01-16,90.5,90.5,90.5,90.5,40066
1992-01-21,93.7,93.7,93.7,93.7,52891
1992-01-23,94.2,94.2,94.2,94.2,34658
1992-01-28,92.3,92.3,92.3,92.3,55622
1992-01-30,92.7,92.7,92.7,92.7,112
1992-02-04,92.5,92.5,92.5,92.5,55407
1992-02-06,89.1,89.1,89.1,89.1,62355
1992-02-11,92.6,92.6,92.6,92.6,51178
1992-02-13,90.9,90.9,90.9,90.9,157443
1992-02-18,91.3,91.3,91.3,91.3,54385
1992-02-20,92.2,92.2,92.2,92.2,288317
1992-02-25,93.1,93.1,93.1,93.1,96758
1992-02-27,91.5,91.5,91.5,91.5,204230
1992-03-03,93.7,93.7,93.7,93.7,249419
1992-03-05,94.6,94.6,94.6,94.6,130876
1992-03-10,94.1,94.1,94.1,94.1,213041
1992-03-12,94.5,94.5,94.5,94.5,134709
1992-03-17,91,91,91,91,242877
1992-03-19,92.9,92.9,92.9,92.9,230104
1992-03-24,92.4,92.4,92.4,92.4,240762
1992-03-26,90.3,90.3,90.3,90.3,815934
1992-03-31,87.2,87.2,87.2,87.2,159758
1992-04-02,86.8,86.8,86.8,86.8,735932
1992-04-07,84.3,84.3,84.3,84.3,75408
1992-04-09,83.1,83.1,83.1,83.1,471964
1992-04-14,83.5,83.5,83.5,83.5,332564
1992-04-16,82.2,82.2,82.2,82.2,345235
1992-04-23,82.2,82.2,82.2,82.2,787677
1992-04-28,78.8,78.8,78.8,78.8,1208418
1992-04-30,76.5,76.5,76.5,76.5,1010245
1992-05-05,75.3,75.3,75.3,75.3,618295
1992-05-07,75.9,75.9,75.9,75.9,540569
1992-05-12,77.4,77.4,77.4,77.4,760902
1992-05-14,76.2,76.2,76.2,76.2,771442
1992-05-19,73.9,73.9,73.9,73.9,594536
